Value,Class
0,0
0.091757965,0
0.172296752,0
0.226219354,0
0.176357985,0
0.090491245,0
0.084609941,0
0.068426992,0
0.133302697,0
0.085026586,0
0.097073068,0
0,0
0.031063768,0
0.017732751,0
0.063354504,0
0.087870392,0
0.115468157,0
0.073413458,0
0.040392585,0
0.089113356,0
0.098030054,0
0.047140641,0
0.104812791,0
0.204788868,0
0.044851006,0
0.105362214,0
0.084368877,0
0.097980674,0
0.101657262,0
0.056764513,0
0.074428709,0
0.091244453,0
0.094529333,0
0.016638011,0
0.038096862,0
0.064497814,0
0.030426402,0
0.09542321,0
0.069688744,0
0.034686224,0
0.089564461,0
0.073376162,0
0.061939296,0
0.114190892,0
0.104759259,0
0.07965796,0
0.144755463,0
0.142171134,0
0.07696964,0
0.063932734,0
0.14973281,0
0.041478839,0
0.089317973,0
0.088820248,0
0.054872994,0
0.079135533,0
0.163179967,0
0.086719267,0
0.073399951,0
0,0
0.032756244,0
0.054893891,0
0.068514114,0
0.052794142,0
0.023853017,0
0.074261254,0
0.024228588,0
0.09233413,0
0.159306553,0
0.127558382,0
0.580357486,1
0.101525417,0
0.040148454,0
0.087208372,0
0.074209919,0
0.059044537,0
0.062481698,0
0.088765277,0
0.051354432,0
0.074790104,0
0.091817342,0
0.147627943,0
0.071010044,0
0.076897563,0
0.084125758,0
0.063289214,0
0.057393902,0
0.041819399,0
0.073729686,0
0.153652856,0
0.06035586,0
0.106445863,0
0.059314286,0
0.096293806,0
0.085101425,0
0.111490723,0
0.076266981,0
0.09795212,0
0.172500219,0
0.113891823,0
0.089999618,0
0.048649372,0
0.138617647,0
0.108879559,0
0.054235163,0
0.039004051,0
0.074471308,0
0.040258944,0
0,0
0.027955713,0
0.047309968,0
0.016602764,0
0.042432578,0
0.051191744,0
0,0
0.056724832,0
0.055771059,0
0.081014772,0
0.082536297,0
0.114992037,0
0.076685138,0
0.070057457,0
0.070314774,0
0.091946449,0
0.145605885,0
0.094774329,0
0.102179893,0
0.048542431,0
0.06876055,0
0.075440684,0
0.117713394,0
0.069437398,0
0,0
0,0
0,0
0.027395404,0
0.055202605,0
0.078387348,0
0.118515716,0
0.068395342,0
0.047205972,0
0.079106485,0
0.067550602,0
0.08066657,0
0.044973876,0
0.06573458,0
0.606906109,1
0.068759647,0
0.027278224,0
0.067695565,0
0.072446699,0
0.028882931,0
0.021568137,0
0.064254625,0
0.073869151,0
0.026644044,0
0.051289859,0
0.099217338,0
0.016615805,0
0.078387348,0
0,0
0.049384244,0
0.043044731,0
0.042155049,0
0.042236538,0
0.10015643,0
0.173781323,0
0.120055195,0
0.144911378,0
0.073369411,0
0.123956261,0
0.150774304,0
0.18960071,0
0.060513489,0
0.072057994,0
0.082361078,0
0.123437752,0
0.107181778,0
0.103593946,0
